#BM(C|255),MC(C|255),DESCR(C|4000)
00.0102,颈部血管治疗性超声,"FN1,手术1,手术1,1"
00.0300,周围血管治疗性超声,"FN1,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.1000,化学治疗物质植入,"BJ1,手术1,手术1,1"
00.5001,心脏再同步起搏器置入术,"FK1,手术1,手术1,1"
00.5002,心脏再同步起搏器置换术,"FK1,手术1,手术1,1"
00.5101,心脏再同步除颤器置入术,"FK3,手术1,手术1,1"
00.5102,心脏再同步除颤器置换术,"FK3,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5201,左心室冠状静脉导线[电极]置入术,"FK2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5202,左心室冠状静脉导线[电极]置换术,"FK2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5301,心脏再同步起搏器脉冲发生器置入术,"FK1,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5302,心脏再同步起搏器脉冲发生器置换术,"FK2,手术1,手术1,1"
00.5401,心脏再同步除颤器脉冲发生器置入术,"FK3,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5402,心脏再同步除颤器脉冲发生器置换术,"FK3,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5501,锁骨下动脉药物洗脱支架置入术,"BE2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5502,股总动脉药物洗脱支架置入术,"FN1,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.5601,植入型压力传感器与导线的置入，用于心内或大血管血液动力学监测,"FM3,手术1,手术1,1"
00.5602,植入型压力传感器与导线的置换，用于心内或大血管血液动力学监测,"FM3,手术1,手术1,1"
00.5700,心内或大血管的血流动力学监测皮下装置置入或置换,"FM3,手术1,手术1,1"
00.5800,置入动脉瘤囊内压力监测装置（手术中）,"FN1,手术1,手术1,1"
00.5901,冠脉瞬时无波形比值检查[iFR检查],"FB2,手术2,手术1,手术2,2;FC2,手术2,手术1,手术2,2;FM3,手术1,手术1,1"
00.5902,冠状动脉血流储备分数检查,"FB2,手术2,手术1,手术2,2;FC2,手术2,手术1,手术2,2;FM3,手术1,手术1,1"
00.6000,表浅股动脉药物洗脱支架置入,"FN1,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6101,经皮颈动脉球囊扩张成形术,"BE2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6102,经皮椎动脉球囊扩张成形术,"BE2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6201,经皮基底动脉球囊扩张成形术,"BE2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6202,经皮交通动脉血管球囊扩张成形术,"BE2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6301,脑保护伞下颈动脉支架置入术,"BE2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6401,经皮椎动脉非药物洗脱支架置入术,"BE2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6501,大脑中动脉支架经皮置入术,"BE2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.6601,经皮冠状动脉药物球囊血管内成形术,"FC1,手术2,手术1,手术2,2;FM2,手术1,手术1,1;ZJ1,手术1,手术1,1"
00.7201,人工股骨干和股骨头修复术,"IC1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
00.7301,人工股骨头修复术,"IC1,手术1,手术1,1"
00.7400,髋轴面，金属与聚乙烯,"IC2,手术1,手术1,1"
00.7500,髋轴面，金属与金属,"IC2,手术1,手术1,1"
00.7600,髋轴面，陶瓷与陶瓷,"IC2,手术1,手术1,1"
00.7700,髋轴面，陶瓷与聚乙烯,"IC2,手术1,手术1,1"
00.8201,膝关节置换修复术，股骨成分伴胫骨（衬垫）置入,"IC1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
01.0100,脑池穿刺,"BJ1,手术1,手术1,1"
01.0901,颅内穿刺引流术,"BJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
01.1200,开放性脑膜活组织检查,"BB1,手术1,手术1,诊断,2;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZC1,手术1,手术1,1"
01.1301,神经导航下颅内病变活组织检查,"BJ1,手术1,手术1,1"
01.1400,开放性大脑活组织检查,"BB1,手术1,手术1,诊断,2;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZC1,手术1,手术1,1"
01.1500,颅骨活组织检查,"BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
01.2001,颅神经刺激脉冲发生器植入,"BD2,手术1,手术1,1"
01.2002,颅神经刺激脉冲发生器置换,"BD2,手术1,手术1,1"
01.2200,去除颅内神经刺激器导线,"BD2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.2300,颅骨切开术部位的再切开,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.2401,颅后窝血肿清除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2402,颅骨切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2403,延髓前方减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2404,环枕减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2405,硬膜外脓肿清除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2406,神经内镜下环枕减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2407,颅骨钻孔探查术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1;ZJ1,手术1,手术1,1"
01.2408,颅内血肿清除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2409,颅骨钻孔引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2410,颞肌下减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2411,颅骨切开减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2412,硬脑膜外切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2413,颅骨去骨瓣减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2414,颅骨钻孔减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2415,颅骨切开异物取出术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZJ1,手术1,手术1,1"
01.2501,颞骨全切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2502,颞骨部分切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;DA1,手术1,手术1,诊断,2;DB1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2503,颅骨部分切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;DB1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2504,颅骨死骨切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;DB1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.2505,眶板眶顶切除术,"CD1,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2506,颅骨骨碎片取除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1"
01.2507,茎突截短术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZJ1,手术1,手术1,1"
01.2600,颅腔或组织的导管置入术,"BE1,手术1,手术1,1"
01.2700,颅腔或组织的导管去除术,"BE1,手术1,手术1,1"
01.2800,经伯尔孔的脑内导管放置术,"BE1,手术1,手术1,1"
01.2900,颅神经刺激脉冲发生器去除术,"BJ1,手术1,手术1,1"
